I-74 NB from 12th Ave to 7th Ave,operational
I-74 NB from 7th Ave to 4th Ave,operational
I-74 NB from 4th Ave to 1st Ave,operational
I-74 NB from 1st Ave to Toll Pla,operational
I-74 NB from Toll Plaza to South,operational
I-74 NB from South Tower to Nort,failed
I-74 NB from North Tower to Isle,operational
I-74 NB from Isle Park to Holmes,failed
I-74 NB from Lincoln to Middle,operational
I-74 NB from Spruce Hills to Cro,operational
I-74 NB from Middle to Spruce Hi,operational
I-74 SB from 46th to Kimberly,operational
I-74 NB from Crow Creek to 53rd,operational
I-74 SB from 53rd to 46th,operational
I-74 SB from Kimberly to Middle,operational
I-74 SB from Middle to Lincoln,operational
I-74 SB from Holmes to Isle Park,failed
I-74 SB from Isle Parkway to Nor,failed
I-74 SB from North Tower to Sout,operational
I-74 SB from South Tower to Toll,operational
I-74 SB from Toll Plaza to 1st A,operational
I-74 SB from 1st Ave to 4th Ave,operational
I-74 SB from 4th Ave to 7th Ave,operational
I-74 SB from 7th Ave to 12th Ave,operational
I-74 SB from 12th Ave to Ave of ,operational
I-74 NB from Holmes to Lincoln,operational
I-74 SB from Lincoln to Holmes,operational
QCDS-19-WB,operational
QCDS-20-WB,operational
QCDS-21-WB Ramp,operational
QCDS-22-WB,operational
QCDS-20-WB Ramp,operational
QCDS-23-WB,operational
QCDS-23-EB,operational
QCDS-22-EB,operational
QCDS-20-EB,operational
QCDS-19-EB,operational
QCDS-24-EB,off
QCDS-24-EB,off
QCDS-25-EB,operational
QCDS-25-WB,operational
DMTT05-EB,off
DMTT05-WB,off
I-74 SB from 4th Ave to 7th Ave ,operational
 I-74 NB from 7th Ave to 4th Ave,operational
I-74 SB from 1st Ave to 4th Ave ,operational
IWZ3546-WB                      ,off
IWZ3546-EB                      ,off
IWZ3553-WB                      ,off
IWZ3553-EB                      ,off
IWZ3545-EB                      ,off
IWZ3545-WB                      ,off
IWZ3551-WB                      ,off
IWZ3551-EB                      ,off
IWZ3080-NB                      ,off
IWZ3080-SB                      ,off
IWZ3068-WB                      ,off
IWZ3068-EB                      ,off
IWZ3076-EB                      ,off
IWZ3076-WB                      ,off
IWZ3077-WB                      ,off
IWZ3077-EB                      ,off
IWZ3078-EB                      ,off
IWZ3078-WB                      ,off
IWZ3079-EB                      ,off
IWZ3079-WB                      ,off
IWZ3088-WB                      ,off
IWZ3088-EB                      ,off
IWZ3542-EB                      ,off
IWZ3542-WB                      ,off
I-380 CRDS01 NB,operational
I-380 CRDS01 SB,operational
I-380 CRDS02 SB,operational
I-380 CRDS02 NB,operational
I-380 CRDS03 NB,operational
I-380 CRDS03 SB,operational
I-380 CRDS04 NB,operational
I-380 CRDS04 SB,operational
I-380 CRDS04 NB Ramp,operational
I-380 CRDS05 NB,operational
I-380 CRDS05 SB,operational
I-380 CRDS06 NB,operational
I-380 CRDS06 SB,operational
I-380 CRDS07 Ramp RL,operational
I-380 CRDS08 NB,operational
I-380 CRDS08 SB,operational
I-380 CRDS08 SB Ramp,operational
I-380 CRDS09 NB,operational
I-380 CRDS09 SB,operational
I-380 CRDS09 NB Ramp,operational
I-380 CRDS09 SB Ramp,operational
I-380 CRDS10 NB,operational
I-380 CRDS10 SB,operational
I-380 CRDS10 NB Ramp,operational
I-380 CRDS10 SB Ramp,operational
I-380 CRDS11 NB,operational
I-380 CRDS11 SB,operational
I-380 CRDS11 NB Ramp,operational
I-380 CRDS11 SB Ramp,operational
